,ユーザー名,ユーザーid,RT数,いいね数,日時,本文
0,熨斗袋,noshi91,1,5,2020-09-07-14:59:1599458365,タスク:ライセンスを頑張って読むPython/Cython 辺りへの移植に貢献できそうならする
1,こどふぉグラフ芸人,NatsubiSogan,0,2,2020-09-07-14:59:1599458364,B問題 Python-FAだったらしい
2,いおんR,cation04,0,14,2020-09-07-14:55:1599458107,pythonを称賛してるヒトとディスってるヒトの二極化が激しい。
3,笑い猫,bokudentw,2,7,2020-09-07-14:54:1599458069,ゲーム用途ではしばらくＣ＋＋需要が減ることはないだろう。というか一般的にＣ＋＋需要は増すかもしれない。しかし次世代言語は？RustとかJuliaとか騒がれているが次の世代、１０年ぐらい先ならブームがくるかも。python も１０年ぐらいかかったしね。だいたい言語ひとつで１０年ぐらいのサイクル
4,aki310,fox_aki310ooooo,0,1,2020-09-07-14:53:1599458034,MQTT通信完全に理解した。https://t.co/pPdcIDP05m
5,菅,sgttttttttttttt,0,1,2020-09-07-14:53:1599457980,Python版よろしくお願いします(クソデカ大声)
6,ルビ,Rubia_game,0,1,2020-09-07-14:52:1599457946,なんで私物理科なのに高校生の頃の同期にC言語教えてるんだろう...Cなんて中学生のときにちょろっと勉強しただけなのに...まだ最近勉強してるPythonの方が教えられるわ...
7,くらりこす,komagraclatz,0,1,2020-09-07-14:50:1599457839,"@QGmen ありがとうございます！私とその人とわざわざ講習受けに行ったけど時間のない先輩3人でちまちまやってこうと思ってます。とりあえずPython,Powerapps（とPLC…汗"
8,鈴鳴の龍,da___tsu,0,1,2020-09-07-14:48:1599457729,Python使えたらP言語マスターなのでは
9,だれ,pro_anyone,0,4,2020-09-07-14:46:1599457594,TLEに悩むPython勢の瞳には、光るものが＿＿＿＿＿＿
10,きっしゅ@フリーエンジニア目指し中,ibukish,0,1,2020-09-07-14:45:1599457546,@marshie_key 動くものを作るのは簡単なんですよね。問題はそれがなぜ動くかを理解することだと思っています‼️エラーはなぜ動かないかをPythonが教えてくれます。エラーの原因を調査することは、なぜ動くかを理解する助けになります☺️✨個人的にはエラー解消スキルは必須だと思います‼️
11,仁/JIN,greenglish3150,0,7,2020-09-07-14:45:1599457538,【プログラミング学習のProgate】Pythonのレベルが18にUPしました！ https://t.co/gKQDplkuIh #Progate
12,エクセルの神髄,yamaoka_ss,0,1,2020-09-07-14:45:1599457534,Pythonの変数名って何文字までいけるのだろう、、、（試してみる気はないw）VBAは255文字って書いてるけど、確認した覚えはあるようなないような、、、
13,prd🦍,prd_xxx,1,56,2020-09-07-14:45:1599457524,そう!!! まだPython版ACLは来ないのだ!!! なぜなら!!!誰も!!! Python版ACLを作っていないからである!!! https://t.co/TiTSjFSA57
14,りょう,ryoitasato,0,6,2020-09-07-14:44:1599457496,今日は詰まりすぎて全然進まんかった…Pythonで開発したかったけどNode.jsの本しかなかったからついでにNode.jsの勉強もしてるから余計わからん。#alexa #勉強#駆け出しエンジニアとつながりたい
15,たこぱいそん,python_octopus,0,3,2020-09-07-14:44:1599457476,懐かしのπ☆←使い魔
16,鈴鳴の龍,da___tsu,0,1,2020-09-07-14:44:1599457454,Pythonで開発提案して業務時間内で勉強したいなぁ
17,ぱぐ,pagu888,0,1,2020-09-07-14:41:1599457312,9月7日レアジョブPythonの勉強読書インターンストレッチ充実
18,のり😁,noriMy1,0,1,2020-09-07-14:40:1599457248,今日からpythonでスクレイピングやるぞー！やっぱり目標（アウトプット）がないと、続かない。#プログラミング独学
19,たこぱいそん,python_octopus,0,1,2020-09-07-14:40:1599457214,いまのなし
20,たこぱいそん,python_octopus,3,6,2020-09-07-14:40:1599457206,こんにちはほしくんガチ勢です
21,も,mt03kkk18wu,0,1,2020-09-07-14:40:1599457204,@kosenstudent これは自論なんすけどpythonはライブラリの多様さ含めてpythonなんで、使えるもんはどんどん使って使い方に慣れる方針でいいかと…早いの書きたければいろいろありますし。juliaとか
22,れいほん🔰RΞIНОИ,reihon_exe,0,1,2020-09-07-14:39:1599457183,@Chromebookkaeyo それよね。一応俺もPythonとかblenderとか色々勉強？はしてるけどこんなの役に立たないし時間の無駄よね･･･
